,Title,Theme,Sub Theme,Latitude,Longitude,Green Space,id,Walking,Cardio,Sightseeing,Rating,Content
0,Lynch''''s Bridge Mosaic Mural,Mural,Sculpture,144.92393918797248,-37.79020534335677,False,1001,False,False,True,0,Go for a walk to
1,Coles Fountain,Fountain,Memorials,144.97348397026266,-37.80977063998943,False,1002,False,False,True,0,Go for a walk to
2,Beyond the Ocean of Existence,Sculpture,Sculpture,144.96706152142454,-37.81642362550678,False,1003,False,False,True,0,Go for a walk to
3,Vault,Sculpture,Sculpture,144.96773271682704,-37.82607139191802,False,1004,False,False,True,0,Go for a walk to
4,Sir Thomas Blamey Memorial,Memorial,Sculpture,144.97281890582408,-37.8263011012613,False,1005,False,False,True,0,Go for a walk to
5,A History Apparatus - Vessel Craft & Beacon,Sculpture,Sculpture,144.96821095479558,-37.81304936449115,False,1006,False,False,True,0,Go for a walk to
6,Stanford Fountain,Fountain,Sculpture,144.97395547173446,-37.81243425403014,False,1007,False,False,True,0,Go for a walk to
7,North Melbourne War Memorial,Cenotaph,Memorials,144.94868041774336,-37.805233515414656,False,1008,False,False,True,0,Go for a walk to
8,King George V Memorial,Memorial,Sculpture,144.97321342759503,-37.824272678181686,False,1009,False,False,True,0,Go for a walk to
9,Shadow Trees,Sculpture,Sculpture,144.9409520071531,-37.820624039208646,False,1010,False,False,True,0,Go for a walk to
10,Fairies Tree,Sculpture,Sculpture,144.98110223857506,-37.81340997178163,False,1011,False,False,True,0,Go for a walk to
11,Lake Waterfall,Waterfall,Sculpture,144.97181101425943,-37.82208606658947,False,1012,False,False,True,0,Go for a walk to
12,Domed Drinking Fountain,Drinking Fountain,Memorials,144.97076945357304,-37.821240390015305,False,1013,False,False,True,0,Go for a walk to
13,Thomas Ferguson Memorial Drinking Fountain,Drinking Fountain,Memorials,144.96022724856095,-37.80153947884793,False,1014,False,False,True,0,Go for a walk to
14,Black Swan Memorial Drinking Fountain,Memorial Drinking Fountain,Memorials,144.97182443644516,-37.819570574442366,False,1015,False,False,True,0,Go for a walk to
15,Pastor Sir Doug Nicholls and Lady Gladys Nicholls,Sculpture,Sculpture,144.97364211216924,-37.81002307787697,False,1016,False,False,True,0,Go for a walk to
16,Janet Lady Clarke Memorial Sculpture,Rotunda,Sculpture,144.9718353146044,-37.8223354801052,False,1017,False,False,True,0,Go for a walk to
17,Statue of Meditation,Sculpture,Sculpture,144.97857743610945,-37.8139538628485,False,1018,False,False,True,0,Go for a walk to
18,John Batman Memorial [2],Sculpture,Sculpture,144.95977299962593,-37.81765977602296,False,1019,False,False,True,0,Go for a walk to
19,Anchor,Sculpture,Sculpture,144.94744462620787,-37.818232323012126,False,1020,False,False,True,0,Go for a walk to
20,Sir Edward ''''''''Weary'''''''' Dunlop,Memorial,Sculpture,144.97159425832896,-37.82530980334813,False,1021,False,False,True,0,Go for a walk to
21,Grey Street Fountain,Fountain,Memorials,144.9829508862324,-37.811543500644426,False,1022,False,False,True,0,Go for a walk to
22,Ophelia,Sculpture,Sculpture,144.9659517158149,-37.819968338442905,False,1023,False,False,True,0,Go for a walk to
23,Samuel Mauger Drinking Fountain,Drinking Fountain,Memorials,144.9753153437232,-37.80824896279736,False,1024,False,False,True,0,Go for a walk to
24,The Genie,Sculpture,Sculpture,144.9711947232973,-37.821487701812366,False,1025,False,False,True,0,Go for a walk to
25,Art Wall,Sculpture,Sculpture,144.9462026449502,-37.81569486070456,False,1026,False,False,True,0,Go for a walk to
26,Sir Samuel Gillott,Bust,Sculpture,144.97261542256064,-37.813725736472485,False,1027,False,False,True,0,Go for a walk to
27,Aqualung,Sculpture,Sculpture,144.94506762996463,-37.818843311029966,False,1028,False,False,True,0,Go for a walk to
28,Marquis of Linlithgow,Statue,Sculpture,144.9719166488942,-37.82666405636878,False,1029,False,False,True,0,Go for a walk to
29,Spray Lake,Fountain,Sculpture,144.97252879114416,-37.805809651343246,False,1030,False,False,True,0,Go for a walk to
30,Meeting 1,Sculpture,Sculpture,144.93893011222016,-37.81590193817868,False,1031,False,False,True,0,Go for a walk to
31,Brunton Drinking Fountain East,Drinking Fountain,Memorials,144.97217890820102,-37.78930375418185,False,1032,False,False,True,0,Go for a walk to
32,Blowhole,Sculpture,Sculpture,144.94700936190569,-37.82186285910264,False,1033,False,False,True,0,Go for a walk to
33,Standing by Tunnerminnerwait and Maulboyheenner,Sculpture,Sculpture,144.9645692680851,-37.80700265749862,False,1034,False,False,True,0,Go for a walk to
35,Ceremony and Vehicle for Conveying Spirit,Sculpture,Sculpture,144.96851299989842,-37.81369576317149,False,1035,False,False,True,0,Go for a walk to
37,Time and Tide,Sculpture,Sculpture,144.9662509187985,-37.81439838243077,False,1036,False,False,True,0,Go for a walk to
38,Grollo Fountain,Fountain,Sculpture,144.96987438289304,-37.80314275282813,False,1037,False,False,True,0,Go for a walk to
39,Captain Matthew Flinders Statue,Statue,Sculpture,144.96748759277108,-37.81696330579109,False,1038,False,False,True,0,Go for a walk to
40,Birrarung Wilam [Common Ground],Sculpture,Memorials,144.97182169813522,-37.81859572477289,False,1039,False,False,True,0,Go for a walk to
41,Widow and Children,Statue,Sculpture,144.9743398250947,-37.83028190715433,False,1040,False,False,True,0,Go for a walk to
42,"Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle",Sculpture,Sculpture,144.9655744954389,-37.81368540194004,False,1041,False,False,True,0,Go for a walk to
43,Resting Place,Sculpture / Seat,Sculpture,144.96407645127653,-37.81037210876608,False,1042,False,False,True,0,Go for a walk to
44,Clayton Reserve Drinking Fountain,Drinking Fountain,Memorials,144.9389347962098,-37.79566355473519,False,1043,False,False,True,0,Go for a walk to
45,Councillor William Cook Memorial Drinking Fountain,Drinking Fountain,Memorials,144.96619001850792,-37.785287472836885,False,1044,False,False,True,0,Go for a walk to
46,Port Philip Monument,Monument,Sculpture,144.90868793767592,-37.8067376454504,False,1045,False,False,True,0,Go for a walk to
47,Grant''s Fountain,Fountain,Memorials,144.96859332734795,-37.80747037586185,False,1046,False,False,True,0,Go for a walk to
48,Wind Contrivance,Sculpture,Sculpture,144.95923056581196,-37.807251891601936,False,1047,False,False,True,0,Go for a walk to
49,People''''''''s Path,Bricks / Tiles,Sculpture,144.9783891748421,-37.811023513897744,False,1048,False,False,True,0,Go for a walk to
50,Poise,Sculpture,Sculpture,144.94683073925555,-37.818010565097374,False,1049,False,False,True,0,Go for a walk to
51,Boy and Urn,Fountain,Sculpture,144.97970323398684,-37.81212180360231,False,1050,False,False,True,0,Go for a walk to
52,Island Wave,Sculpture,Sculpture,144.95805722764143,-37.80932642456887,False,1051,False,False,True,0,Go for a walk to
53,Koorie Mural,Mural,Sculpture,144.96305396149538,-37.80699393814314,False,1052,False,False,True,0,Go for a walk to
54,French Fountain,Fountain,Sculpture,144.97284986251543,-37.804900933458875,False,1053,False,False,True,0,Go for a walk to
55,Constellation,Sculpture,Sculpture,144.96066253110223,-37.82024605773942,False,1054,False,False,True,0,Go for a walk to
56,Sundial,Sundial,Memorials,144.9549375102993,-37.810316205824975,False,1055,False,False,True,0,Go for a walk to
57,Model Tudor Village,Model,Sculpture,144.98101234462126,-37.81325721271154,False,1056,False,False,True,0,Go for a walk to
58,Photo Art Billboard,Artwork,Memorials,144.94742694404235,-37.8249065499163,False,1057,False,False,True,0,Go for a walk to
59,Dr Louis Smith,Bust,Sculpture,144.97245207113764,-37.804744309144155,False,1058,False,False,True,0,Go for a walk to
60,Farnex Hercules,Sculpture,Sculpture,144.96967311696216,-37.821109293482905,False,1059,False,False,True,0,Go for a walk to
61,John Mockridge Fountain,Fountain,Sculpture,144.96699434684948,-37.815522370963386,False,1060,False,False,True,0,Go for a walk to
62,William Ievers (Jnr) Memorial Drinking Fountain,Drinking Fountain,Memorials,144.97056462844986,-37.798257825618585,False,1061,False,False,True,0,Go for a walk to
63,Macpherson Robertson Fountain,Fountain,Memorials,144.9729342609244,-37.832377458612896,False,1062,False,False,True,0,Go for a walk to
64,Passage,Sculpture,Sculpture,144.95830671628437,-37.80745242967464,False,1063,False,False,True,0,Go for a walk to
65,Weathervanes,Sculpture,Sculpture,144.9656409310818,-37.81353704463541,False,1064,False,False,True,0,Go for a walk to
66,Brunton Drinking Fountain West,Drinking Fountain,Memorials,144.9788554339231,-37.8184091013264,False,1065,False,False,True,0,Go for a walk to
67,Painted Poles 2,Sculpture,Sculpture,144.96681037690786,-37.81575629385463,False,1066,False,False,True,0,Go for a walk to
68,Edward George Honey Memorial,Sculpture,Sculpture,144.97441978122478,-37.82975546446717,False,1067,False,False,True,0,Go for a walk to
69,Another View Site 17,Sculpture,Sculpture,144.96838103517445,-37.81480508762984,False,1068,False,False,True,0,Go for a walk to
70,Hotham Hill Seat,Sculpture,Sculpture,144.9403407552676,-37.7949352206982,False,1069,False,False,True,0,Go for a walk to
71,Mermaid and Fish,Sculpture,Sculpture,144.98275871683995,-37.81384199949477,False,1070,False,False,True,0,Go for a walk to
72,Bellair Street Mosaics,Sculpture,Memorials,144.93020538561703,-37.79405884375064,False,1071,False,False,True,0,Go for a walk to
73,"World Within, World Without (Forgotten Australians)",Sculpture,Sculpture,144.9631284056871,-37.820618391811486,False,1072,False,False,True,0,Go for a walk to
74,Electric Supply Box D,Sculpture,Sculpture,144.96591286716105,-37.81352489059756,False,1073,False,False,True,0,Go for a walk to
75,Water Children,Sculpture,Sculpture,144.9706619741479,-37.8221241231269,False,1074,False,False,True,0,Go for a walk to
76,Looking Glass,Sculpture,Sculpture,144.9673081996758,-37.81613995849352,False,1075,False,False,True,0,Go for a walk to
77,Blue Line,Sculpture,Sculpture,144.96023598489086,-37.81981971289524,False,1076,False,False,True,0,Go for a walk to
78,River God Fountain,Fountain,Sculpture,144.98088242316877,-37.810416722878486,False,1077,False,False,True,0,Go for a walk to
80,Aurora,Sculpture,Sculpture,144.94685633758888,-37.81869383024415,False,1078,False,False,True,0,Go for a walk to
81,Field of Play,Artwork,Sculpture,144.94546323616404,-37.8142734273307,False,1079,False,False,True,0,Go for a walk to
82,Silence,Sculpture,Sculpture,144.9415465168603,-37.815107094213595,False,1080,False,False,True,0,Go for a walk to
84,Exhibition Fountain,Fountain,Sculpture,144.97136832705928,-37.805456770242635,False,1081,False,False,True,0,Go for a walk to
85,Reed Vessel,Sculpture,Sculpture,144.94632509501722,-37.82023232968245,False,1082,False,False,True,0,Go for a walk to
86,George Hawkins Ievers Memorial Drinking Fountain,Drinking Fountain,Memorials,144.9580902280125,-37.79217291379831,False,1083,False,False,True,0,Go for a walk to
87,Westgarth Drinking Fountain,Drinking Fountain,Memorials,144.97341733159385,-37.80509129697919,False,1084,False,False,True,0,Go for a walk to
88,Bird Panels,Sculpture,Sculpture,144.9406873459674,-37.79535266830282,False,1085,False,False,True,0,Go for a walk to
89,Bali Memorial,Fountain,Sculpture,144.9632428416034,-37.802484110270704,False,1086,False,False,True,0,Go for a walk to
90,General Charles Gordon Memorial,Memorial,Sculpture,144.97394249758733,-37.81272601232133,False,1087,False,False,True,0,Go for a walk to
91,Burke and Wills Monument,Statue,Sculpture,144.96670400596955,-37.81563369944254,False,1088,False,False,True,0,Go for a walk to
92,Eight Hour Day Memorial,Monument,Sculpture,144.96558836214078,-37.80715499434724,False,1089,False,False,True,0,Go for a walk to
93,Colony,Artwork,Sculpture,144.94495681027365,-37.814302889607525,False,1090,False,False,True,0,Go for a walk to
94,Australian Hellenic Memorial,Memorial,Memorials,144.97297393104864,-37.82721242566816,False,1091,False,False,True,0,Go for a walk to
95,Reynold''''s Reserve Drinking Fountain,Drinking Fountain,Memorials,144.96000400655757,-37.78366119106134,False,1092,False,False,True,0,Go for a walk to
96,Dr Sun Yat Sen,Sculpture,Sculpture,144.96928691505966,-37.81114211029682,False,1093,False,False,True,0,Go for a walk to
97,Eagle,Sculpture,Sculpture,144.9523913264332,-37.82072476624313,False,1094,False,False,True,0,Go for a walk to
98,Children''''s Lake Waterfall,Waterfall,Memorials,144.97064348351407,-37.8224051515098,False,1095,False,False,True,0,Go for a walk to
99,Victorian Rowing Association World War 1 Memorial,Cenotaph,Memorials,144.9747725916972,-37.8217592722394,False,1096,False,False,True,0,Go for a walk to
100,Australia Today and Tomorrow,Sculpture,Sculpture,144.96733869785558,-37.81405489268127,False,1097,False,False,True,0,Go for a walk to
101,Stapley Memorial Drinking Fountain,Drinking Fountain,Memorials,144.97302122652613,-37.81891097559535,False,1098,False,False,True,0,Go for a walk to
102,Elliot Drinking Fountain,Drinking Fountain,Memorials,144.95696668881735,-37.782050044894405,False,1099,False,False,True,0,Go for a walk to
103,Parkville Diggers Memorial (WWI Memorial),Sculpture,Memorials,144.95808647651077,-37.791550224794335,False,1100,False,False,True,0,Go for a walk to
104,Captain Cook,Sculpture,Sculpture,144.97949435961337,-37.81457924729898,False,1101,False,False,True,0,Go for a walk to
105,Walk of Stars,Sculpture,Sculpture,144.9387694921899,-37.81528506774349,False,1102,False,False,True,0,Go for a walk to
106,Edmund FitzGibbon Memorial,Memorial,Sculpture,144.97041853309003,-37.823612183804784,False,1103,False,False,True,0,Go for a walk to
107,Temple of the Winds,Rotunda,Sculpture,144.98173585576174,-37.81280965457216,False,1104,False,False,True,0,Go for a walk to
108,Tianjin Garden Chinese Lion Guardians,Sculpture,Sculpture,144.969347694358,-37.81125373289736,False,1105,False,False,True,0,Go for a walk to
109,IOU,Sculpture,Sculpture,144.94791455836793,-37.820108015038734,False,1106,False,False,True,0,Go for a walk to
110,Heavy Metal Jam Session,Sculpture,Sculpture,144.93795521998828,-37.8113298032748,False,1107,False,False,True,0,Go for a walk to
111,Great Petition,Sculpture,Sculpture,144.97517029157777,-37.81152964068704,False,1108,False,False,True,0,Go for a walk to
112,Angel,Sculpture,Sculpture,144.97295915208258,-37.818954244841606,False,1109,False,False,True,0,Go for a walk to
113,Eel Trap,Sculpture,Sculpture,144.97407581389808,-37.81912215786392,False,1110,False,False,True,0,Go for a walk to
114,Bandstand,Bandstand,Sculpture,144.9826570546702,-37.81182206803026,False,1111,False,False,True,0,Go for a walk to
115,Once Upon a Slime,Sculpture / Seat,Sculpture,144.97164501742284,-37.81842253913951,False,1112,False,False,True,0,Go for a walk to
116,Sir William Brunton Drinking Fountain,Drinking Fountain,Memorials,144.97217890820102,-37.78930375418185,False,1113,False,False,True,0,Go for a walk to
117,The River Runs Through It,Sculpture,Sculpture,144.94170955070416,-37.82139985641415,False,1114,False,False,True,0,Go for a walk to
118,Car Nuggets,Sculpture,Sculpture,144.9491420809476,-37.82174006933285,False,1115,False,False,True,0,Go for a walk to
119,South African War Memorial (Memorial to Fallen Soldiers),Memorial Sculpture,Sculpture,144.9718567903399,-37.82594145408015,False,1116,False,False,True,0,Go for a walk to
120,R.J. & F.G.J. Hardy Memorial Drinking Fountain,Drinking Fountain,Memorials,144.96931421689305,-37.78559127783706,False,1117,False,False,True,0,Go for a walk to
121,The Pathfinder,Sculpture,Sculpture,144.97035525342713,-37.82202808776344,False,1118,False,False,True,0,Go for a walk to
122,Queen Victoria Memorial,Memorial statue,Sculpture,144.9724790217425,-37.82184118717754,False,1119,False,False,True,0,Go for a walk to
123,Motorcyclist Harold Parsons Memorial,Memorial,Sculpture,144.98958111417957,-37.817040083323455,False,1120,False,False,True,0,Go for a walk to
124,Outside Inside Out,Artwork,Memorials,144.94113017903652,-37.8143592312937,False,1121,False,False,True,0,Go for a walk to
125,King Edward VII Memorial,Monument,Sculpture,144.97098824977132,-37.822671803541056,False,1122,False,False,True,0,Go for a walk to
126,Ecophene,Sculpture,Sculpture,144.96328536951518,-37.81980563381242,False,1123,False,False,True,0,Go for a walk to
128,James C Roberts Memorial,Memorial,Sculpture,144.9570537702451,-37.7891381551832,False,1124,False,False,True,0,Go for a walk to
129,Miraggio [also known as Seated Figure],Sculpture,Sculpture,144.97415155124347,-37.824013514390046,False,1125,False,False,True,0,Go for a walk to
130,Architectural Fragment,Sculpture,Sculpture,144.9640460882066,-37.80982754352814,False,1126,False,False,True,0,Go for a walk to
131,Faultline,Sculpture,Sculpture,144.96423807327005,-37.82115251478746,False,1127,False,False,True,0,Go for a walk to
132,Lie of the Land,Sculpture,Sculpture,144.97213425650625,-37.80376916863335,False,1128,False,False,True,0,Go for a walk to
133,Faces,Sculpture,Sculpture,144.92687427968494,-37.79627940870039,False,1129,False,False,True,0,Go for a walk to
134,Boer War Monument,Memorial,Sculpture,144.9722466732223,-37.83339205559024,False,1130,False,False,True,0,Go for a walk to
135,Burke & Wills Cairn,Cairn,Sculpture,144.95605810687638,-37.78892811780881,False,1131,False,False,True,0,Go for a walk to
136,The Travellers,Sculpture,Sculpture,144.96296054938466,-37.82007937885384,False,1132,False,False,True,0,Go for a walk to
137,John Pascoe Fawkner Memorial,Statue,Sculpture,144.95999529331093,-37.817677055142426,False,1133,False,False,True,0,Go for a walk to
138,The Dolphin Fountain,Fountain,Sculpture,144.980015837679,-37.81188844446916,False,1134,False,False,True,0,Go for a walk to
139,The Phoenix,Sculpture,Sculpture,144.9709506469274,-37.822153249778246,False,1135,False,False,True,0,Go for a walk to
140,Continuum,Sculpture,Sculpture,144.9469984588285,-37.8191897005887,False,1136,False,False,True,0,Go for a walk to
141,Futurescape,Sculpture,Sculpture,144.9717599103583,-37.81810144655276,False,1137,False,False,True,0,Go for a walk to
142,The Echo,Sculpture,Sculpture,144.96515394995706,-37.81270567583463,False,1138,False,False,True,0,Go for a walk to
143,Australian Turkish Friendship Memorial (Seeds of Friendship),Memorial,Sculpture,144.97398190437264,-37.828313799536176,False,1139,False,False,True,0,Go for a walk to
144,Warin the Wombat,Sculpture,Sculpture,144.96717855091975,-37.81609978073489,False,1140,False,False,True,0,Go for a walk to
145,Red Centre,Sculpture,Sculpture,144.96871769443098,-37.81856096072415,False,1141,False,False,True,0,Go for a walk to
146,Maltese War Memorial,Memorial,Memorials,144.9741444132895,-37.828711220681996,False,1142,False,False,True,0,Go for a walk to
147,Robert Burns Memorial,Statue,Sculpture,144.974719996297,-37.8143735830792,False,1143,False,False,True,0,Go for a walk to
148,Speakers Corner,Sculpture,Sculpture,144.97571669031538,-37.82008255714271,False,1144,False,False,True,0,Go for a walk to
149,Sir William John Clarke,Statue,Sculpture,144.9743448588091,-37.81367295311916,False,1145,False,False,True,0,Go for a walk to
